position,id,title,model,prompt,precision,recall,hall,miss,t-precision,t-recall,t-hall,t-miss,connectivity
662,196,Langer_serial_SkyShowtime,google/gemma-4-26b-a4b-it,typed_pl/new_graph,0.938,0.556,1 | 16,12 | 27,0.875,0.737,2 | 16,5 | 19,1
284,119,Langer_serial_SkyShowtime,google/gemma-4-26b-a4b-it,default_pl/new_graph,0.958,0.561,1 | 24,18 | 41,0.958,0.348,1 | 24,43 | 66,1
453,170,Langer_serial_SkyShowtime,google/gemma-4-26b-a4b-it,filmweb_pl/new_graph,1,0.784,0 | 29,8 | 37,1,0.829,0 | 29,6 | 35,0.647
300,127,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,google/gemma-4-26b-a4b-it,default_pl/new_graph,0.864,0.633,3 | 22,11 | 30,0.864,0.528,3 | 22,17 | 36,0.905
680,204,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,google/gemma-4-26b-a4b-it,typed_pl/new_graph,0.944,0.63,1 | 18,10 | 27,0.389,0.467,11 | 18,8 | 15,0.476
457,179,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,google/gemma-4-26b-a4b-it,filmweb_pl/new_graph,0.7,0.538,3 | 10,6 | 13,0.9,0.75,1 | 10,3 | 12,0.692
317,136,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,google/gemma-4-26b-a4b-it,default_pl/new_graph,0.907,0.79,5 | 54,13 | 62,0.87,0.671,7 | 54,23 | 70,0.855
714,211,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,google/gemma-4-26b-a4b-it,typed_pl/new_graph,0.939,0.821,3 | 49,10 | 56,0.714,0.833,14 | 49,7 | 42,1
461,187,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,google/gemma-4-26b-a4b-it,filmweb_pl/new_graph,0.976,0.8,1 | 41,10 | 50,0.951,0.886,2 | 41,5 | 44,0.953
662,195,Langer_serial_SkyShowtime,google/gemma-4-31b-it,typed_pl/new_graph,0.9,0.667,2 | 20,9 | 27,0.95,1,1 | 20,0 | 19,0.909
453,167,Langer_serial_SkyShowtime,google/gemma-4-31b-it,filmweb_pl/new_graph,1,0.81,0 | 17,4 | 21,1,0.486,0 | 17,18 | 35,0.895
284,151,Langer_serial_SkyShowtime,google/gemma-4-31b-it,default_pl/new_graph,0.909,0.625,2 | 22,12 | 32,1,0.333,0 | 22,44 | 66,1
457,176,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,google/gemma-4-31b-it,filmweb_pl/new_graph,0.778,0.538,2 | 9,6 | 13,0.889,0.667,1 | 9,4 | 12,0.667
300,155,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,google/gemma-4-31b-it,default_pl/new_graph,1,0.71,0 | 22,9 | 31,0.909,0.556,2 | 22,16 | 36,1
680,203,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,google/gemma-4-31b-it,typed_pl/new_graph,1,0.667,0 | 12,6 | 18,0.667,0.533,4 | 12,7 | 15,0.312
461,184,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,google/gemma-4-31b-it,filmweb_pl/new_graph,1,0.69,0 | 29,13 | 42,1,0.659,0 | 29,15 | 44,1
317,159,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,google/gemma-4-31b-it,default_pl/new_graph,1,0.767,0 | 46,14 | 60,0.913,0.6,4 | 46,28 | 70,1
714,210,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,google/gemma-4-31b-it,typed_pl/new_graph,0.839,0.578,5 | 31,19 | 45,0.516,0.381,15 | 31,26 | 42,0.931
662,189,Langer_serial_SkyShowtime,local:bielik-11b-v3.0-instruct,typed_pl/new_graph,0.84,0.75,4 | 25,7 | 28,0.76,1,6 | 25,0 | 19,1
284,113,Langer_serial_SkyShowtime,local:bielik-11b-v3.0-instruct,default_pl/new_graph,1,0.462,0 | 12,14 | 26,1,0.182,0 | 12,54 | 66,0.857
453,165,Langer_serial_SkyShowtime,local:bielik-11b-v3.0-instruct,filmweb_pl/new_graph,1,0.667,0 | 14,7 | 21,0.929,0.371,1 | 14,22 | 35,1
300,122,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,local:bielik-11b-v3.0-instruct,default_pl/new_graph,0.846,0.524,2 | 13,10 | 21,0.692,0.25,4 | 13,27 | 36,0.077
680,197,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,local:bielik-11b-v3.0-instruct,typed_pl/new_graph,1,0.412,0 | 7,10 | 17,0.429,0.2,4 | 7,12 | 15,0.556
457,175,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,local:bielik-11b-v3.0-instruct,filmweb_pl/new_graph,0.889,0.667,1 | 9,4 | 12,1,0.75,0 | 9,3 | 12,0.583
461,183,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,local:bielik-11b-v3.0-instruct,filmweb_pl/new_graph,1,0.269,0 | 7,19 | 26,0.714,0.114,2 | 7,39 | 44,0.778
714,205,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,local:bielik-11b-v3.0-instruct,typed_pl/new_graph,1,0.32,0 | 8,17 | 25,1,0.19,0 | 8,34 | 42,1
317,132,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,local:bielik-11b-v3.0-instruct,default_pl/new_graph,1,0.449,0 | 22,27 | 49,0.864,0.271,3 | 22,51 | 70,0.917
453,171,Langer_serial_SkyShowtime,local:qwen/qwen3-vl-8b,filmweb_pl/new_graph,0.9,0.474,2 | 20,20 | 38,0.9,0.514,2 | 20,17 | 35,0.905
284,115,Langer_serial_SkyShowtime,local:qwen/qwen3-vl-8b,default_pl/new_graph,0.968,0.625,1 | 31,18 | 48,0.774,0.364,7 | 31,42 | 66,0.938
662,190,Langer_serial_SkyShowtime,local:qwen/qwen3-vl-8b,typed_pl/new_graph,0.806,0.676,6 | 31,12 | 37,0.581,0.947,13 | 31,1 | 19,0.447
680,198,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,local:qwen/qwen3-vl-8b,typed_pl/new_graph,0.897,0.765,3 | 29,8 | 34,0.414,0.8,17 | 29,3 | 15,0.714
457,173,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,local:qwen/qwen3-vl-8b,filmweb_pl/new_graph,0.438,0.467,9 | 16,8 | 15,0.625,0.833,6 | 16,2 | 12,1
300,124,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,local:qwen/qwen3-vl-8b,default_pl/new_graph,0.818,0.562,4 | 22,14 | 32,0.818,0.5,4 | 22,18 | 36,0.182
461,181,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,local:qwen/qwen3-vl-8b,filmweb_pl/new_graph,0.861,0.674,5 | 36,15 | 46,0.75,0.614,9 | 36,17 | 44,1
714,206,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,local:qwen/qwen3-vl-8b,typed_pl/new_graph,0.658,0.685,26 | 76,23 | 73,0.368,0.667,48 | 76,14 | 42,1
317,134,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,local:qwen/qwen3-vl-8b,default_pl/new_graph,0.853,0.518,5 | 34,27 | 56,0.794,0.386,7 | 34,43 | 70,1
662,191,Langer_serial_SkyShowtime,mistralai/mistral-small-3.2-24b-instruct,typed_pl/new_graph,0.902,0.841,4 | 41,7 | 44,0.463,1,22 | 41,0 | 19,0.762
453,168,Langer_serial_SkyShowtime,mistralai/mistral-small-3.2-24b-instruct,filmweb_pl/new_graph,1,0.59,0 | 23,16 | 39,0.783,0.514,5 | 23,17 | 35,1
284,152,Langer_serial_SkyShowtime,mistralai/mistral-small-3.2-24b-instruct,default_pl/new_graph,0.979,0.648,1 | 47,25 | 71,0.936,0.667,3 | 47,22 | 66,1
300,156,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,mistralai/mistral-small-3.2-24b-instruct,default_pl/new_graph,0.778,0.636,6 | 27,12 | 33,0.778,0.583,6 | 27,15 | 36,0.429
457,177,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,mistralai/mistral-small-3.2-24b-instruct,filmweb_pl/new_graph,0.846,0.688,2 | 13,5 | 16,0.923,1,1 | 13,0 | 12,0.643
680,199,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,mistralai/mistral-small-3.2-24b-instruct,typed_pl/new_graph,0.75,0.818,15 | 60,10 | 55,0.15,0.6,51 | 60,6 | 15,0.833
317,160,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,mistralai/mistral-small-3.2-24b-instruct,default_pl/new_graph,1,0.788,0 | 52,14 | 66,0.865,0.643,7 | 52,25 | 70,0.849
714,207,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,mistralai/mistral-small-3.2-24b-instruct,typed_pl/new_graph,0.857,0.75,8 | 56,16 | 64,0.625,0.833,21 | 56,7 | 42,0.96
461,185,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,mistralai/mistral-small-3.2-24b-instruct,filmweb_pl/new_graph,0.902,0.804,4 | 41,9 | 46,0.829,0.773,7 | 41,10 | 44,0.952
284,116,Langer_serial_SkyShowtime,qwen3-14b,default_pl/new_graph,0.59,0.479,16 | 39,25 | 48,0.667,0.394,13 | 39,40 | 66,1
662,194,Langer_serial_SkyShowtime,qwen3-14b,typed_pl/new_graph,0.848,0.7,5 | 33,12 | 40,0.545,0.947,15 | 33,1 | 19,0.568
453,164,Langer_serial_SkyShowtime,qwen3-14b,filmweb_pl/new_graph,0.958,0.719,1 | 24,9 | 32,0.5,0.343,12 | 24,23 | 35,1
457,174,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,qwen3-14b,filmweb_pl/new_graph,0.75,0.667,4 | 16,6 | 18,0.562,0.75,7 | 16,3 | 12,1
680,202,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,qwen3-14b,typed_pl/new_graph,0.96,0.8,1 | 25,6 | 30,0.32,0.533,17 | 25,7 | 15,0.355
300,128,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,qwen3-14b,default_pl/new_graph,0.957,0.667,1 | 23,11 | 33,0.826,0.528,4 | 23,17 | 36,0.407
